Sample,Subgroup,17:984101-1003742,12:74728500-75387573,1:42754729-43839204,1:12800742-12805297,11:32019726-32772242,6:6356121-7863271,8:37746286-37882239,20:194755-763411,17:35076296-35282086,16:69763173-70593293,16:67314736-68371045,16:68838368-68874167,5:54350373-55141379,4:145396784-148091215,11:80263397-80790766,1:193480150-193527058,1:102443157-103810269,16:68710277-68751390,14:21464924-21511829,23:153466463-153491568,17:24446821-24694533,1:239391358-239517083,3:199333505-199383479,5:159735059-161722215,5:69274433-70345552,5:763494-786455,6:40747924-42826227,5:70716278-70721505,14:105654998-105693581,3:196908262-196937230,17:24093273-24104500,18:19733211-22259536,1:57359130-58257959,17:41011530-41041674,6:131304839-132036965,17:39280577-40847517,23:3229-45135,16:69391442-69397102,9:42913008-43066618,16:30561643-31835555,5:140433878-142819410,1:199087690-199111062,17:32221174-32383368,1:149369522-149394958,21:17408551-18006620,17:1542118-1560766,11:15925810-16521314,11:62264206-62741497,6:66247043-66553014,1:141474904-141491470,8:38313929-38522146,2:47541529-48962866,5:93308740-93320336,16:14956177-14988855,8:64430407-65154750,3:39066-342654,12:9528590-9585156,6:4651403-4923955,1:2643540-2645074,16:68606309-68648091,13:93513108-95399913,15:32605086-32654561,8:39013480-39080885,1:149579637-149582884,17:25537018-25610913,12:70462057-70560603,11:71305189-71377650,5:6356267-9839414,6:204528-238441,18:14723811-14968075,21:36471530-36734826,22:22725750-22731544,11:61339118-61799979,23:282116-343473,22:41307174-41912419,16:18701947-19396257,18:16808486-16996321,3:75914406-75957900,8:50133866-50469104,17:78572201-78653545,6:1436117-1512043,8:41575958-42118548,1:12833868-13002452,18:14120810-14602888,3:75546791-75799957,17:42975134-43019545,11:79858760-79974644,14:106216726-106349756,4:3556852-3568531,1:15858551-16119613,6:22060377-24236375,6:94517742-97817899,16:69417987-69744010,6:165690639-165715368,16:51853490-52456026,14:105708209-105839439,16:29560500-29582349,23:144052935-145145074,8:43264404-43419507,18:22269177-22793854,1:244693374-244865778,8:39356595-39363050,16:191307-2499608,11:29167359-31313660,16:21382561-21444431,4:846154-890807,12:59087176-60039028,12:75396411-75693696,1:370546-372295,16:15039224-16166785,8:38168564-38303346,12:64727853-66012212,3:89488409-89516057,13:20633975-20649522,11:118115430-118362161,20:17587221-18440839,8:97639200-98703368,14:73071404-73092018,14:19350230-19397709,1:141500919-141527782,17:35854781-35986154,5:62457701-65999278
Array.55,HER2+,-1,0,1,0,1,0,-1,1,2,0,0,0,-1,0,1,-1,0,0,0,1,-1,-1,0,-1,-1,1,-1,-1,0,-1,-1,-1,2,-1,0,-1,1,0,0,0,-1,-1,-1,-1,0,-1,1,1,-1,0,-1,1,-1,-1,2,-1,0,0,1,0,-1,0,-1,1,-1,0,1,1,0,0,0,0,1,0,-1,0,-1,-1,2,-1,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,-1,-1,0,1,0,1,0,0,0,0,1,0,-1,0,-1,0,0,1,2,-1,0,0,-1,-1
Array.43,HR+,0,0,0,0,0,-1,2,0,0,-1,-1,-1,0,1,0,-1,0,-1,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,-1,0,1,0,0,0,-1,0,0,0,0,-1,0,2,0,0,0,2,-1,-1,-1,0,-1,-1,0,2,1,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,2,0,-1,2,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,0,1,1,2,0,0,2,1,0,1,-1,0,0,0,1,2,0,0,-1,0,0,2,0,0,0,0,0
Array.52,HR+,-1,0,0,0,0,0,1,0,-1,-1,-1,-1,0,0,-1,1,-1,-1,0,1,1,0,0,0,0,1,0,0,-1,1,1,0,-1,-1,-1,-1,1,-1,-1,1,0,1,-1,0,1,0,0,-1,-1,0,1,0,0,-1,1,-1,0,0,1,-1,-1,-1,1,1,1,0,-1,1,-1,-1,1,0,-1,0,0,1,-1,0,1,0,0,1,0,-1,0,-1,-1,-1,0,0,0,-1,0,-1,-1,-1,1,1,1,0,1,-1,0,0,0,0,0,0,0,0,1,1,0,-1,-1,0,1,-1,1,0,-1,0
Array.88,Triple Neg,0,-1,0,1,-1,1,0,1,1,0,0,0,-1,1,1,-1,0,0,0,0,-1,0,0,-1,-1,0,0,-1,-1,0,-1,-1,0,0,-1,0,1,0,-1,0,-1,-1,-1,1,0,0,0,0,-1,0,0,1,-1,-1,1,-1,0,1,-1,0,2,-1,0,0,-1,-1,0,1,0,-1,1,0,0,1,-1,0,-1,-1,0,-1,0,0,1,-1,-1,1,1,-1,0,1,1,-1,0,-1,0,-1,0,0,0,-1,1,-1,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,1,1,-1,1,0,0,-1
Array.125,HER2+,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
Array.152,HER2+,-1,1,0,0,-1,0,0,0,2,-1,-1,-1,-1,0,-1,0,0,-1,1,1,-1,0,0,-1,-1,1,0,-1,1,0,-1,-1,0,-1,1,-1,0,-1,1,1,-1,0,-1,0,0,-1,1,0,0,0,0,0,-1,1,1,0,1,0,0,-1,-1,-1,0,0,-1,1,0,1,0,-1,0,0,0,0,0,1,-1,-1,1,-1,0,1,0,-1,-1,1,-1,1,0,0,0,1,-1,1,1,1,1,1,1,-1,0,2,1,-1,1,0,1,1,0,1,0,1,-1,-1,-1,0,1,0,1,0,-1,-1
Array.94,HR+,0,1,0,0,0,0,0,2,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,0,0,0,0,-1,0,0,2,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,-1,-1,0,-1,-1,1,0,0
Array.51,HER2+,0,0,1,0,1,1,0,1,2,0,0,0,0,1,1,1,1,0,1,0,2,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,2,0,1,1,1,0,0,1,0,1,2,0,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,-1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,-1,0,1,-1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,2,1,1,1,1,0
Array.37,HR+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0
Array.78,HER2+,-1,0,0,0,0,0,-1,-1,2,0,0,0,0,0,-1,1,0,0,0,1,2,0,0,1,-1,0,0,-1,0,0,1,0,0,-1,0,-1,0,0,0,0,-1,0,2,1,-1,-1,0,0,0,0,-1,0,-1,-1,1,0,-1,0,1,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,1,-1,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,1,-1,0,1,1,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,-1,1,-1,0,0,1,-1
Array.18,HER2+,-1,0,2,-1,-1,0,1,0,2,0,0,0,-1,0,0,1,0,0,0,1,0,1,0,0,-1,1,0,-1,0,0,0,-1,1,-1,-1,-1,0,0,0,1,0,0,1,2,0,-1,-1,0,-1,1,0,0,-1,1,-1,-1,1,0,0,0,0,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,-1,-1,-1,0,0,-1,-1,0,-1,2,0,-1,0,-1,0,-1,0,-1,0,0,1,1,-1,-1,1,0,1,-1,1,1,0,1,-1,1,0,0,0,0,0,1,-1,-1,-1,1,-1,-1
Array.82,HR+,-1,1,0,0,1,0,0,1,0,0,0,0,0,0,-1,1,0,-1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,-1,0,0,1,0,0,0,-1,-1,-1,1,1,0,1,0,1,0,-1,1,0,0,0,0,0,1,-1,0,1,0,1,1,0,1,0,-1,0,1,0,0,1,0,0,1,1,-1,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,-1,1,1,-1,1,1,0
Array.139,HER2+,0,0,0,1,0,0,-1,0,2,-1,-1,-1,0,0,0,1,0,-1,0,1,1,1,0,0,0,0,0,0,0,0,2,-1,0,1,0,-1,0,-1,0,0,0,1,2,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,1,-1,0,0,-1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,-1,1,-1,0,2,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,1,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,-1,1,-1,0
Array.2,HR+,-1,1,0,0,0,-1,0,1,1,0,0,1,0,-1,-1,1,0,-1,0,1,-1,0,0,1,0,0,-1,0,0,1,0,-1,-1,0,-1,-1,-1,0,-1,1,1,1,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,1,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,0,0,1,1,-1,-1,1,-1,0,0,-1,-1,1,1,0,0,0,0,1,-1,-1,1,1,1,-1,0,1,-1
Array.117,HR+,0,0,0,0,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,-1,0,2,0,0,0,0,-1,0,0,0,0,-1,0,0,1,0,0,-1,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Array.60,HR+,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Array.72,HER2+,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,-1,0,0,0,1,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,-1,0,1,0,0,0,1,1,0,0,1,0,-1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,-1,0,0,1,1,0,-1,1,1,0
Array.104,Triple Neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.137,HR+,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,1,0,-1,0,1,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,-1,1,0,1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,1,1,0,0
Array.145,Triple Neg,1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,0,1,0,0,1,1,0,1,1,-1,-1,-1,0,-1,0,1,0,0,-1,0,0,0,-1,-1,1,0,-1,1,0,-1,0,1,-1,0,-1,0,0,1,-1,-1,0,0,1,0,0,-1,0,-1,0,1,0,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,1,0,0,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1,-1,-1,1,0,-1
Array.31,Triple Neg,0,0,1,1,0,1,2,1,0,1,1,1,0,1,2,0,1,2,0,2,0,1,1,0,0,2,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,-1,0,0,0,0,0,1,1,1,2,1,0,0,2,1,1,1,1,1,0,-1,2,2,0,0,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,1,0,2,0,0,1,1,1,1,-1,2,0,1,2,2,1,1,0,0,0,1,0,0,0,1,1,2,0,0,1,2,0,2,-1,0,1,0,0
Array.135,Triple Neg,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,2,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,-1,1,0,0,1,-1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,2,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
Array.111,Triple Neg,0,0,1,-1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,-1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,-1,1,0,2,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,-1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,2,-1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,-1,1,0,0
Array.7,HR+,-1,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-1,1,0,0,0,0,-1,1,-1,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,1,-1,0,-1,0,0,0,-1,-1,1,-1,0,0,-1,2,1,0,1,0,1,-1,0,1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,1,-1,-1,1,-1,1
Array.21,HER2+,0,1,0,0,0,1,-1,0,2,0,0,0,0,0,1,0,0,-1,1,2,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,2,1,0,0,0,0,0,-1,1,0,1,1,1,1,1,0,0,0,0,-1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,2,1,0,1,-1,0,0,1,0,1,1,0,1,-1,1,0,0,0,1,1,0,-1,0,0,0
Array.53,HER2+,-1,0,0,0,-1,-1,0,0,2,-1,-1,-1,0,-1,0,-1,0,-1,0,2,1,0,0,0,-1,1,-1,0,0,1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,-1,-1,1,-1,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,1,-1,0,0,0,0,0,1,-1,-1,1,-1,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,2,0,-1,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0
Array.59,HR+,0,0,-1,-1,-1,-1,2,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,1,0,0,-1,-1,-1,0,0,-1,0,-1,1,0,0,-1,-1,-1,0,-1,0,1,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,1,-1,-1,1,-1,0,0,0,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,1,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,-1,2,-1,1,0,0,0
Array.71,Triple Neg,0,0,2,0,-1,0,0,-1,0,1,0,1,-1,0,1,1,0,-1,-1,1,0,1,1,-1,-1,-1,2,-1,-1,1,0,-1,0,0,0,0,1,1,0,0,-1,1,0,1,0,0,-1,0,1,1,0,1,-1,0,1,-1,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,-1,1,0,-1,-1,1,0,-1,0,-1,0,0,0,1,-1,0,0,0,-1,1,-1,0,-1,0,1,0,-1,1,0,0,-1,0,0,0,0,1,0,0,0,-1,-1,-1,-1,1,-1,-1,1,0,-1
Array.47,Triple Neg,-1,0,0,-1,0,1,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,2,-1,0,0,-1,-1,0,0,-1,0,1,-1,0,0,0,0,0,1,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,2,1,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,-1,-1,0,0,0,0,-1,0,0,2,0,-1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,1,-1,1,0,0,-1
Array.107,Triple Neg,-1,0,0,0,-1,1,-1,0,-1,1,0,0,0,0,0,1,0,-1,0,1,-1,0,1,-1,-1,0,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,2,0,-1,-1,-1,1,0,-1,0,-1,0,0,0,1,1,0,0,0,0,-1,1,-1,0,-1,0,1,0,0,-1,-1,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,1,1,0,-1
Array.64,Triple Neg,0,-1,-1,0,0,1,1,-1,0,0,0,0,-1,1,0,1,-1,0,0,2,0,1,0,-1,0,1,0,0,-1,1,0,-1,-1,0,1,0,0,0,0,0,-1,0,0,1,1,0,0,-1,0,0,2,0,-1,1,0,0,0,1,1,0,-1,-1,1,1,0,-1,0,1,0,-1,1,1,-1,0,0,1,-1,-1,0,0,0,0,0,-1,0,0,0,-1,-1,0,1,1,0,0,0,-1,0,1,0,-1,1,2,1,0,1,-1,-1,-1,0,1,2,-1,0,-1,0,-1,0,-1,-1,0,0,-1
Array.89,HR+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-1,-1,1,0,0
Array.30,Triple Neg,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,-1,0,0,0,0,0,1,1,0,0,-1,1,1,-1,1,1,1,1,0,1,2,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,-1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
Array.35,HR+,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,1,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1,0,1,0,1,0,0,0,0,-1,0,0,-1,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,1,0,0,1,0,1,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Array.93,Triple Neg,1,0,1,0,0,2,-1,0,0,0,0,0,0,0,0,1,0,-1,1,1,0,1,1,0,-1,0,1,-1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,-1,1,1,0,0,1,1,-1,1,0,-1,0,0,2,2,1,-1,-1,0,-1,2,0,0,0,0,1,1,1,1,0,1,0,0,1,-1,-1,2,1,-1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,-1,1,1,0,0,0,0,-1,0,0,1,0,-1,0,0,-1,0,0,0,-1,0,1,0,0
Array.10,HER2+,0,0,-1,0,0,0,-1,0,2,0,0,0,0,-1,-1,1,-1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-1,-1,1,-1,1,0,0,0,0,1,-1,1,-1,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,-1,1,-1,0,0,-1,0,0,0,1,0,0,1,0,-1,0,-1,-1,-1,-1,0,0,-1,1,-1,0,0,0,1,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0
Array.123,HR+,0,2,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,1,0,-1,0,1,0,0,0,-1,0,1,0,0,-1,1,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,2,-1,1,0,0,0,0,0,0,0,-1,1,1,0,0,1,-1,0,0,0,1,0,2,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,1,-1,0,0,0,0,0,0,-1,0,-1,1,0,-1,-1,0,-1,0,1,0,0,1,1,0,0,0,0,1,2,0,0,0,2,0,0,-1,-1,2,-1,0,0,0,0
Array.100,HR+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,0,0,0
Array.130,HER2+,-1,0,1,0,0,0,0,-1,2,1,0,0,-1,0,0,0,1,0,0,1,1,-1,0,-1,-1,2,0,-1,0,0,1,0,1,-1,1,-1,1,0,0,0,-1,0,-1,2,0,-1,-1,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,-1,-1
