Sample,Subgroup,3:153300999-156963893,5:150224239-152555267,17:35076296-35282086,12:85986743-87258350,22:26999547-27819338,9:110114139-110140372,1:40617288-40677227,16:50733339-51847185,12:97852156-98629015,6:89106148-90015649,11:80263397-80790766,10:44629442-45468415,17:77422698-77432294,12:74728500-75387573,15:44193179-48393597,1:2611444-2641811,2:47541529-48962866,1:45231107-46047207,11:78706656-79810606,15:62165778-63146938,16:72933295-73012768,1:2643540-2645074,12:84542006-85443011,15:18362555-18431773,16:45058242-45218686,5:763494-786455,8:35694285-35751327,14:51010758-52051333,22:41307174-41912419,5:70752359-71062539,22:27829159-28903600,8:97639200-98703368,15:63158011-63872459,1:104018651-104671817,11:77881751-77985428,1:74137824-74816963,4:69215734-69311985,16:67314736-68371045,11:46368437-47509993,4:191062719-191134340,20:15036230-15158545,18:18979399-19204173,11:59180249-59841891,1:199087690-199111062,11:103640528-105452607,19:20422576-20493401,1:149579637-149582884,5:54350373-55141379,5:68785515-68850823,6:110490286-110621141,6:32766023-32821094,2:132210961-132323628,9:110104594-110108926,8:35875555-36133992,3:4109224-4214897,1:117015146-117751415,1:244693374-244865778,5:51321507-51678728,23:1702016-1706462,10:16276793-18410505,18:22806771-23086108,4:72994111-74368203,8:36627162-36673994,17:57851812-57992993,14:21420105-21448635,1:16799163-16836986,14:19350230-19397709,16:28087-37133,1:16757397-16794038,6:40747924-42826227,16:68606309-68648091,11:58439169-58548776,12:9528590-9585156,20:12495273-14729413,3:196908262-196937230,6:102825672-106012872,12:75396411-75693696,12:70574871-71644041,20:61795796-62379059,6:4651403-4923955,22:22695759-22714749,6:32732764-32738443,17:41700762-41706870,16:68667006-68679377,2:61025070-61061211,15:21195208-21982746,1:38432360-38569674,14:34765550-35332809,1:13520352-15852641,15:55258039-57620619,16:68710277-68751390,16:30561643-31835555,6:110408187-110448454,16:14956177-14988855,8:30109992-30278937,17:38035466-38070950,19:232836-236846,16:191307-2499608,15:39590440-39979013,14:95084499-96542228,14:96585545-96889176,8:98721543-100441109,6:22060377-24236375,1:239544570-239630032,1:25414726-25433465,20:45124342-45222725,1:234776770-236274333,11:101977732-103163021,6:19049822-20716660,23:3229-45135,11:68821295-68894909,3:4226329-9771752,1:245308564-245433846,5:62457701-65999278,1:146525071-146549143,1:156722904-157446463,9:42913008-43066618,1:120313797-120384620,22:37683612-37705310,15:32605086-32654561,17:11469879-12854787,4:70442343-70445716,17:13035306-15423538,16:69417987-69744010
Array.25,Triple Neg,0,-1,1,-1,0,-1,-1,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,1,-1,0,1,0,0,0,0,0,-1,1,-1,0,1,0,-1,0,0,1,-1,-1,-1,0,0,-1,-1,1,0,1,-1,0,0,1,0,-1,0,-1,-1,0,0,-1,0,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,0,1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,1,-1,0,-1,-1,-1,1,0,0,0,0,0,0,0,-1,0,1,-1,-1,1,1,-1,1,0,0,1,0,1,1
Array.141,HR+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,-1,0,0,0,0,0
Array.43,HR+,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,1,0,0,-1,-1,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,-1,-1,0,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,1,-1,0,-1,0,-1,1,0,0,0,2,-1,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,-1,0,0,1,0,-1
Array.159,Triple Neg,1,-1,-1,-1,1,-1,0,0,-1,0,-1,0,-1,-1,0,0,0,-1,1,0,0,0,-1,0,0,1,-1,0,0,-1,1,2,0,0,1,0,0,0,-1,-1,-1,1,0,0,-1,0,1,0,-1,-1,0,0,-1,-1,-1,0,1,0,1,0,1,0,-1,2,1,0,0,-1,0,0,0,0,1,0,-1,-1,-1,-1,0,0,1,0,-1,0,0,0,1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,2,1,1,1,0,1,-1,1,0,0,-1,1,-1,1,1,1,0,0,0,0,0,0,0
Array.88,Triple Neg,0,-1,1,-1,0,0,0,0,-1,1,1,0,-1,-1,-1,-1,1,0,1,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,1,0,0,1,-1,-1,0,-1,0,1,-1,0,-1,0,0,0,-1,-1,0,0,0,0,0,-1,0,1,-1,-1,1,-1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,-1,-1,-1,0,1,-1,0,-1,0,1,-1,0,0,1,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,1,1,0,-1,1,0,0,1,1,1,-1,0,-1,1,0,-1,0,-1,-1,0,0,0,0
Array.125,HER2+,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.50,Triple Neg,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,-1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,-1,0,0,1,0,1,2,-1,-1,1,1,0,0,0,0,1,1,-1,1,1,0,1,0,1,0,0,-1,0,0,1,1,0,2,1,2,1,0,0,1,1,-1,1,-1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,2,0,1,1,0,0,1,-1,1,1,1,1,-1,0,0,1,0,1
Array.23,HR+,0,-1,1,1,0,0,0,0,1,-1,0,-1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,-1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,-1,-1,-1,0,0,0,0,0,0,1,-1,0,-1,1,-1,1,1,1,0,-1,1,0,0,0,0,1,1,0,-1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,-1,1,-1,1,1,1,0,-1,1,1,0,1,0,1,1,0,0,0,0,0,1,-1,1,1,1,1,0,0,-1,-1,-1,1
Array.68,HER2+,0,0,2,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,1,0,-1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,1,0,0,0,-1,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,2,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,2,-1,0,0,-1,0,0,-1
Array.94,HR+,0,0,0,1,0,0,0,0,1,-1,-1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,-1,0,-1,0,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,1,0,-1,1,2,0,0,-1,1,1,2,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,2,0,0,0,1,1,0,1,-1,0,0,0,0,0
Array.153,Triple Neg,0,-1,-1,-1,0,-1,0,0,-1,0,0,0,1,-1,-1,1,1,0,0,0,-1,1,-1,-1,1,1,-1,-1,0,-1,0,1,0,0,0,0,-1,-1,1,-1,0,0,0,0,0,0,1,-1,-1,-1,1,0,-1,-1,-1,0,1,-1,0,1,0,-1,-1,1,1,0,0,0,0,1,-1,-1,2,0,0,-1,-1,-1,0,1,-1,1,-1,-1,0,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,0,0,-1,-1,-1,1,1,1,-1,-1,1,0,1,0,0,-1,1,-1,1,0,0,0,0,-1,-1,-1,-1,1
Array.51,HER2+,0,0,2,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,2,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,-1,1,1,0,1,1,1,0,0,1,0,1,1,1,-1,1,0,1,1,1,1,2,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0
Array.142,HR+,1,1,1,1,-1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,-1,1,-1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,-1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,-1,1,1,1,1,0,-1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,-1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,-1,0,-1,0,-1,1
Array.144,HER2+,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,-1,1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,-1,0
Array.37,HR+,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,0,0
Array.78,HER2+,0,0,2,0,-1,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,1,0,0,-1,0,0,0,1,0,-1,0,0,0,-1,0,1,0,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,1,0,0,0,0,1,-1,0,0,1,0,1,-1,1,1,0,0,-1,0,-1,0,-1,0
Array.18,HER2+,0,0,2,1,0,0,2,0,1,-1,0,0,0,0,-1,1,0,2,0,0,0,0,0,0,0,1,-1,-1,0,-1,0,-1,0,0,0,1,-1,0,-1,0,0,-1,0,0,0,0,1,-1,-1,-1,0,0,0,-1,-1,1,1,-1,0,0,-1,0,-1,0,0,-1,-1,1,-1,0,0,0,1,0,0,-1,1,0,0,0,-1,0,-1,0,0,-1,2,-1,-1,-1,0,1,-1,1,-1,-1,-1,1,-1,0,0,-1,0,1,-1,1,1,0,0,0,0,-1,0,-1,1,1,0,1,0,-1,-1,0,-1,0
Array.75,HER2+,-1,-1,2,1,0,0,1,0,-1,0,-1,-1,-1,-1,1,0,0,1,-1,-1,-1,0,0,-1,0,0,-1,1,0,-1,0,1,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,-1,0,0,1,0,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,1,-1,-1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,2,0,0,-1,0,2,0,-1,-1,-1,0,1,-1,-1,1,0,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,0
Array.139,HER2+,0,0,2,0,0,1,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,-1,0,-1,1,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,-1,0,-1,0
Array.2,HR+,1,1,1,0,0,-1,0,0,0,-1,-1,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,-1,0,-1,0,0,0,0,1,-1,0,1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,1,0,0,0,-1,-1,0,1,-1,1,-1,0,1,-1,0,0,-1,1,1,-1,1,0,1,-1,0,-1,-1,0,-1,1,0,0,0,-1,-1,1,-1,0,-1,-1,0,0,-1,-1,-1,1,-1,0,0,1,1,-1,-1,-1,0,0,0,-1,1,1,-1,0,0,0,-1,-1,-1,0
Array.117,HR+,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,-1
Array.60,HR+,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,1,0,0,-1,0,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,-1,0,0,1,0,1,0,1,1,1,0,-1,0,0,-1,0,0
Array.38,Triple Neg,0,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,-1,-1,0,2,-1,-1,-1,-1,-1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,-1,0,0,-1,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,1,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,0
Array.72,HER2+,0,0,2,0,0,0,0,0,0,-1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,-1,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,1,-1,1,-1,0,1,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Array.104,Triple Neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Array.137,HR+,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,-1,1,1,0,1,0,-1,0,1,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,1,-1,0,0,0,-1,1,0,1,1,0,0,-1,0,-1,-1,-1,0
Array.145,Triple Neg,0,-1,0,-1,0,0,1,-1,-1,0,0,-1,0,-1,-1,0,1,1,-1,-1,0,0,-1,0,-1,-1,-1,2,-1,-1,0,1,-1,0,1,-1,-1,-1,-1,-1,0,0,-1,1,-1,1,1,-1,-1,0,0,0,0,-1,0,0,1,-1,-1,1,0,1,-1,0,1,0,-1,0,0,0,-1,-1,1,0,1,0,-1,-1,1,0,0,0,-1,0,1,-1,1,0,-1,-1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,1,0,1,-1,-1,1,-1,0,-1,2,0,1,-1,0,1,1,0,-1,-1,1,1,1,0
Array.31,Triple Neg,1,0,0,0,1,1,1,2,0,1,2,1,1,0,0,1,1,1,2,0,1,1,0,0,2,2,2,0,1,0,1,2,0,1,2,1,-1,1,1,1,1,1,1,-1,2,1,2,0,0,1,1,1,1,2,1,1,1,0,1,0,1,1,2,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,-1,1,-1,1,1,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,1,2,1,1,1,1,1,0,1,1,1,1,-1,-1,0,1,0,1
Array.135,Triple Neg,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,-1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,-1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,-1,0,0,1,0,0,1,1,0,1,-1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,-1,0,0,0,1
Array.21,HER2+,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,-1,0,0,1,1,1,-1,2,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,0,0,-1,1,-1,1,0,0,0,0,0,-1,0,1,-1,-1,0,0,1,0,0,1,0,0,0,1,0,2,1,-1,1,0,0,1,1,0,0,0,0,-1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
Array.53,HER2+,0,0,2,0,0,1,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,1,0,0,0,0,1,0,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,2,0,0,-1,0,0,-1,-1,0,0,0,1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
Array.59,HR+,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,2,0,-1,0,0,2,-1,-1,-1,-1,-1,0,-1,0,-1,0,1,-1,-1,-1,1,0,0,-1,-1,0,-1,2,0,0,1,0,0,-1,0,0,2,0,0,0,1,0,0,0,-1,1,0,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,2,-1,-1,-1,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0
Array.71,Triple Neg,1,-1,0,0,0,0,2,0,0,-1,1,0,0,0,0,1,1,1,0,0,-1,1,0,0,0,-1,0,-1,1,-1,0,1,0,0,2,0,0,0,-1,0,-1,-1,0,1,-1,1,1,-1,-1,2,0,0,0,0,-1,0,1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,2,0,0,0,-1,1,-1,0,0,0,0,-1,0,1,0,1,0,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,-1,-1,1,0,1,0,0,1,-1,0,1,0,-1,1,-1,1,1,0,1,0,0,0,0,0,1
Array.107,Triple Neg,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,1,0,-1,1,1,0,0,-1,0,0,1,0,1,1,0,1,-1,0,0,0,1,1,0,1,0,-1,1,0,1,1,-1,0,1,1,-1,1,-1,0,0,-1,0,0,0,-1,-1,0,1,0,-1,0,1,0,-1,1,1,0,1,0,0,0,1,0,1,0,-1,0,1,-1,0,1,0,0,-1,0,-1,0,-1,0
Array.64,Triple Neg,1,-1,0,-1,1,1,-1,0,0,1,0,0,0,-1,-1,1,0,-1,0,-1,0,1,-1,0,0,1,0,0,0,-1,1,0,-1,-1,0,-1,-1,0,1,-1,-1,-1,-1,0,0,-1,1,-1,-1,1,0,0,0,0,0,-1,1,0,0,0,-1,0,1,0,0,0,-1,1,0,0,0,-1,0,-1,1,1,-1,-1,0,1,1,0,-1,0,0,-1,-1,0,0,-1,0,0,1,1,-1,0,0,1,-1,-1,-1,0,1,1,0,0,1,0,1,0,0,0,1,-1,0,1,0,0,0,-1,0,0,0,0
Array.30,Triple Neg,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,-1,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,-1,0,1,1,0,0,0,1,0,0,-1,1,1,0,0,1,0,0,1,0,1,-1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,-1,0,0,0,0,1
Array.93,Triple Neg,1,0,0,0,1,0,1,0,0,1,0,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,1,2,0,0,1,1,1,0,-1,0,1,1,0,1,1,1,0,-1,0,1,1,0,0,1,1,-1,0,2,0,1,1,0,0,0,2,0,1,-1,-1,1,0,1,0,0,0,-1,0,1,-1,-1,0,-1,0,0,0,0,0,1,1,-1,0,1,0,1,1,0,1,1,0,1,1,1,1,-1,0,0,-1,0,1
Array.10,HER2+,0,0,2,0,-1,0,-1,0,0,-1,-1,-1,0,0,0,2,0,-1,-1,0,0,0,0,0,0,1,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,1,-1,1,1,0,0,-1,0,0,0,-1,0,-1,1,0,-1,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,1,0,1,1,-1,0,1,0,0,1,0,1,1,0,0,-1,0,0,-1,0,1
Array.123,HR+,0,0,0,1,-1,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,-1,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,1,0,0,-1,0,-1,-1,0,0,0,1,0,-1,0,0,0,0,1,0,-1,0,0,-1,0,-1,0,0,-1,1,-1,2,2,1,0,-1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,-1,-1,2,1,0,-1,1,1,0,1,-1,0,0,1,0,0,0,1,0,0,0,-1,0,-1,-1
Array.100,HR+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0
Array.134,HR+,1,0,1,1,-1,-1,-1,-1,1,-1,0,-1,1,1,0,1,0,-1,0,0,-1,1,1,0,-1,0,-1,0,-1,0,-1,1,0,-1,0,-1,-1,-1,0,0,1,-1,0,1,0,0,1,0,0,-1,1,0,-1,0,1,-1,1,0,0,1,-1,0,0,1,0,0,-1,1,0,1,-1,0,1,1,1,-1,1,1,1,1,-1,1,0,-1,0,0,-1,0,-1,0,-1,1,-1,0,-1,1,-1,1,0,0,0,1,1,1,-1,1,1,0,1,0,2,1,1,0,1,1,0,0,-1,0,1,0,1,1
